topic,the concept of the topic,candidate,candidate masked,label,wikipedia article name,wikipedia url
We should limit executive compensation,executive compensation,"According to the Wall Street Journal, Summers called Senator Chris Dodd (D-CT) asking him to remove caps on executive pay at firms that have received stimulus money, including Citigroup [REF].","According to the Wall Street Journal, Summers called Senator Chris Dodd (D-CT) asking him to remove caps on TOPIC_CONCEPT at firms that have received stimulus money, including Citigroup [REF].",0,Lawrence Summers,https://en.wikipedia.org/wiki/Lawrence_Summers
We should limit executive compensation,executive compensation,"Another reason why executives, in particular, may prefer share buybacks is that executive compensation is often tied to executives' ability to meet earnings per share targets.","Another reason why executives, in particular, may prefer share buybacks is that TOPIC_CONCEPT is often tied to executives' ability to meet earnings per share targets.",0,Share repurchase,https://en.wikipedia.org/wiki/Share_repurchase
We should limit executive compensation,executive compensation,"On April 7, 2009, Blankfein recommended guidelines to overhaul executive compensation.","On April 7, 2009, Blankfein recommended guidelines to overhaul TOPIC_CONCEPT.",0,Lloyd Blankfein,https://en.wikipedia.org/wiki/Lloyd_Blankfein
We should limit executive compensation,executive compensation,"Graef Crystal, a former compensation consultant and author of ""The Crystal Report on Executive Compensation,"" claimed that the limits on executive pay were ""a joke"" and that ""they're just allowing companies to defer compensation.""[REF] .","Graef Crystal, a former compensation consultant and author of ""The Crystal Report on TOPIC_CONCEPT,"" claimed that the limits on TOPIC_CONCEPT were ""a joke"" and that ""they're just allowing companies to defer compensation.""[REF] .",0,Troubled Asset Relief Program,https://en.wikipedia.org/wiki/Troubled_Asset_Relief_Program
We should limit executive compensation,executive compensation,"The explosion in executive pay has become controversial, criticized by not only leftists but conservative establishmentarians such as [Ben Bernanke]] and George W. Bush[REF] .","The explosion in TOPIC_CONCEPT has become controversial, criticized by not only leftists but conservative establishmentarians such as [Ben Bernanke]] and George W. Bush[REF] .",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"In the Financial crisis of 2007-2009 in the United States, pressure mounted to use more stock options than cash in executive pay.","In the Financial crisis of 2007-2009 in the United States, pressure mounted to use more stock options than cash in TOPIC_CONCEPT.",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,Compensation committee duties should include performance goals that align the pay of managers with the long-term interests of shareholders.,TOPIC_CONCEPT duties should include performance goals that align the pay of managers with the long-term interests of shareholders.,0,National Association of Corporate Directors,https://en.wikipedia.org/wiki/National_Association_of_Corporate_Directors
We should limit executive compensation,executive compensation,"In December 2011, the non-partisan organization Public Campaign criticized Duke Energy for spending $17.47 million on lobbying and not paying any taxes during 2008-2010, instead getting $216 million in tax rebates, despite making a profit of $5.4 billion, and increasing executive pay by 145% to $17.2 million in 2010 for its top 5 executives [REF].","In December 2011, the non-partisan organization Public Campaign criticized Duke Energy for spending $17.47 million on lobbying and not paying any taxes during 2008-2010, instead getting $216 million in tax rebates, despite making a profit of $5.4 billion, and increasing TOPIC_CONCEPT by 145% to $17.2 million in 2010 for its top 5 executives [REF].",0,Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy
We should limit executive compensation,executive compensation,"Although executive compensation in the UK is said to be ""dwarfed"" by that of corporate America, it has caused public upset [REF].","Although TOPIC_CONCEPT in the UK is said to be ""dwarfed"" by that of corporate America, it has caused public upset [REF].",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"Writing and speaking extensively on business ethics, Kiplinger is critical of lavish executive compensation and a short-run, bottom-line fixation that leads businesses to disrespects their employees and fail to plan for future success [REF].","Writing and speaking extensively on business ethics, Kiplinger is critical of lavish TOPIC_CONCEPT and a short-run, bottom-line fixation that leads businesses to disrespects their employees and fail to plan for future success [REF].",0,Knight Kiplinger,https://en.wikipedia.org/wiki/Knight_Kiplinger
We should limit executive compensation,executive compensation,Brown opposes a proposed multi-billion dollar tax on banks to recoup bailout money and prescribing of bank executive compensation.,Brown opposes a proposed multi-billion dollar tax on banks to recoup bailout money and prescribing of bank TOPIC_CONCEPT.,0,Scott Brown,https://en.wikipedia.org/wiki/Scott_Brown
We should limit executive compensation,executive compensation,"The KB Home shareholders expressed their lack of confidence in the board and the compensation committee by a 19% opposition vote against Irani, who resigned from the KB Home board of directors after 15 years of service.","The KB Home shareholders expressed their lack of confidence in the board and TOPIC_CONCEPT by a 19% opposition vote against Irani, who resigned from the KB Home board of directors after 15 years of service.",0,Ray R. Irani,https://en.wikipedia.org/wiki/Ray_R._Irani
We should limit executive compensation,executive compensation,Three state lawmakers had publicly demanded his resignation for his handling of the executive pay compensation scandal that stemmed from UC system Provost M.R.C. Greenwood's violation of UC conflict-of-interest rules.,Three state lawmakers had publicly demanded his resignation for his handling of TOPIC_CONCEPT compensation scandal that stemmed from UC system Provost M.R.C. Greenwood's violation of UC conflict-of-interest rules.,0,University of California,https://en.wikipedia.org/wiki/University_of_California
We should limit executive compensation,executive compensation,Adding debt like instrument as part of an executive compensation may reduce the risk taking motivation of executives [REF].,Adding debt like instrument as part of TOPIC_CONCEPT may reduce the risk taking motivation of executives [REF].,0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"After the Securities and Exchanges Commission was set up in the 1930s, it was concerned enough about excessive executive compensation that it began requiring yearly reporting of company earnings to help reign in abuse [REF].","After the Securities and Exchanges Commission was set up in the 1930s, it was concerned enough about excessive TOPIC_CONCEPT that it began requiring yearly reporting of company earnings to help reign in abuse [REF].",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"Regulators explicitly want compensation committees now to incorporate qualitative, longer-term metrics, pay periods and discretion.","Regulators explicitly want TOPIC_CONCEPT now to incorporate qualitative, longer-term metrics, pay periods and discretion.",0,Chris Grayling,https://en.wikipedia.org/wiki/Chris_Grayling
We should limit executive compensation,executive compensation,"On January 15, 2009, the Treasury issued interim final rules for reporting and record keeping requirements under the executive compensation standards of the Capital Purchase Program (CPP) [REF].","On January 15, 2009, the Treasury issued interim final rules for reporting and record keeping requirements under TOPIC_CONCEPT standards of the Capital Purchase Program (CPP) [REF].",0,Troubled Asset Relief Program,https://en.wikipedia.org/wiki/Troubled_Asset_Relief_Program
We should limit executive compensation,executive compensation,Unions have been very vocal in their opposition to high executive compensation.,Unions have been very vocal in their opposition to high TOPIC_CONCEPT.,0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"In December 2011/January 2012 two of the country's biggest investors, Fidelity Worldwide Investment, and the Association of British Insurers, called for greater shareholder control over executive pay packages [REF].","In December 2011/January 2012 two of the country's biggest investors, Fidelity Worldwide Investment, and the Association of British Insurers, called for greater shareholder control over TOPIC_CONCEPT packages [REF].",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"HCAN led grassroots online activists, conducted news conferences and published reports on health insurance industry profits, executive compensation, concentration of market power, and mistreatment of consumers and health care providers.","HCAN led grassroots online activists, conducted news conferences and published reports on health insurance industry profits, TOPIC_CONCEPT, concentration of market power, and mistreatment of consumers and health care providers.",0,Health Care for America NOW!,https://en.wikipedia.org/wiki/Health_Care_for_America_NOW!
We should limit executive compensation,executive compensation,Dodd was responsible for the inclusion of a clause limiting excessive executive pay in the American Recovery and Reinvestment Act.,Dodd was responsible for the inclusion of a clause limiting excessive TOPIC_CONCEPT in the American Recovery and Reinvestment Act.,0,Chris Dodd,https://en.wikipedia.org/wiki/Chris_Dodd
We should limit executive compensation,executive compensation,"Lucian Arye Bebchuk, Jesse M. Fried, the authors of Pay Without Performance, critique of executive pay, argue that executive capture of corporate governance is so complete that only public relations, i.e. public `outrage`, constrains their pay [REF].","Lucian Arye Bebchuk, Jesse M. Fried, the authors of Pay Without Performance, critique of TOPIC_CONCEPT, argue that executive capture of corporate governance is so complete that only public relations, i.e. public `outrage`, constrains their pay [REF].",0,Income inequality in the United States,https://en.wikipedia.org/wiki/Income_inequality_in_the_United_States
We should limit executive compensation,executive compensation,"Executive pay is an important part of corporate governance, and is often determined by a company's board of directors.","TOPIC_CONCEPT is an important part of corporate governance, and is often determined by a company's board of directors.",0,Executive pay,https://en.wikipedia.org/wiki/Executive_pay
We should limit executive compensation,executive compensation,"Besides reigniting interest in the theory of the public corporation as an owner-less entity made up of only contractual relationships (a field pioneered by Ronald Coase), the paper laid the foundation for the widespread use of stock options as executive compensation tools.","Besides reigniting interest in the theory of the public corporation as an owner-less entity made up of only contractual relationships (a field pioneered by Ronald Coase), the paper laid the foundation for the widespread use of stock options as TOPIC_CONCEPT tools.",0,Michael Jensen,https://en.wikipedia.org/wiki/Michael_Jensen
We should limit executive compensation,executive compensation,"The backdating allegedly occurred with the knowledge and approval of the directors, including Kean, who sat on the company's compensation committee during three crucial years, according to the Journal.","The backdating allegedly occurred with the knowledge and approval of the directors, including Kean, who sat on the company's TOPIC_CONCEPT during three crucial years, according to the Journal.",0,Thomas Kean,https://en.wikipedia.org/wiki/Thomas_Kean
We should ban partial birth abortions,partial birth abortions,"With regard to abortions done by intact dilation and extraction (called ""partial birth abortion"" by its opponents), Romney took no action to ban it while he was Governor of Massachusetts [REF].","With regard to abortions done by TOPIC_CONCEPT (called TOPIC_CONCEPT by its opponents), Romney took no action to ban it while he was Governor of Massachusetts [REF].",0,Political positions of Mitt Romney,https://en.wikipedia.org/wiki/Political_positions_of_Mitt_Romney
We should ban partial birth abortions,partial birth abortions,"Also in his first year as governor Huckabee signed a partial birth abortion ban and a $7.6 Million Smart Start program for primary school students to learn ""the basic skills of reading, math, and character.""","Also in his first year as governor Huckabee signed TOPIC_CONCEPT ban and a $7.6 Million Smart Start program for primary school students to learn ""the basic skills of reading, math, and character.""",1,Governorship of Mike Huckabee,https://en.wikipedia.org/wiki/Governorship_of_Mike_Huckabee
We should ban partial birth abortions,partial birth abortions,"In 2007, the Court upheld a federal statute banning partial-birth abortion in Gonzales v. Carhart [REF].","In 2007, the Court upheld a federal statute banning TOPIC_CONCEPT in Gonzales v. Carhart [REF].",1,Antonin Scalia,https://en.wikipedia.org/wiki/Antonin_Scalia
We should ban partial birth abortions,partial birth abortions,"In 2005, Kline began investigating possible cases of child rape and illegal partial-birth and late-term abortions.","In 2005, Kline began investigating possible cases of child rape and illegal TOPIC_CONCEPT and late-term abortions.",0,Phill Kline,https://en.wikipedia.org/wiki/Phill_Kline
We should ban partial birth abortions,partial birth abortions,"Thomas added that the Court was not deciding the question of whether Congress had the power to outlaw partial birth abortions: [W]hether the Act constitutes a permissible exercise of Congress' power under the Commerce Clause is not before the Court [in this case] .. the parties did not raise or brief that issue; it is outside the question presented; and the lower courts did not address it.""[REF] .","Thomas added that the Court was not deciding the question of whether Congress had the power to outlaw TOPIC_CONCEPT: [W]hether the Act constitutes a permissible exercise of Congress' power under the Commerce Clause is not before the Court [in this case] .. the parties did not raise or brief that issue; it is outside the question presented; and the lower courts did not address it.""[REF] .",0,Clarence Thomas,https://en.wikipedia.org/wiki/Clarence_Thomas
We should ban partial birth abortions,partial birth abortions,"Obama voted against the Partial-Birth Abortion Ban Act, saying ""On an issue like partial birth abortion, I strongly believe that the state can properly restrict late-term abortions.","Obama voted against the Partial-Birth Abortion Ban Act, saying ""On an issue like TOPIC_CONCEPT, I strongly believe that the state can properly restrict late-term abortions.",1,Barack Obama social policy,https://en.wikipedia.org/wiki/Barack_Obama_social_policy
We should ban partial birth abortions,partial birth abortions,Otter is pro-life and has voted to ban federal funding of abortions and opposes partial-birth abortions.,Otter is pro-life and has voted to ban federal funding of abortions and opposes TOPIC_CONCEPT.,1,Butch Otter,https://en.wikipedia.org/wiki/Butch_Otter
We should ban partial birth abortions,partial birth abortions,"In the mid-1990s, Moynihan was one of the Democrats to support the ban on the procedure known as partial-birth abortion.","In the mid-1990s, Moynihan was one of the Democrats to support the ban on the procedure known as TOPIC_CONCEPT.",1,Daniel Patrick Moynihan,https://en.wikipedia.org/wiki/Daniel_Patrick_Moynihan
We should ban partial birth abortions,partial birth abortions,"In 2007, the organization was involved in a Supreme Court case in which it helped to uphold the 2003 federal ban on partial-birth abortions [REF].","In 2007, the organization was involved in a Supreme Court case in which it helped to uphold the 2003 federal ban on TOPIC_CONCEPT [REF].",1,Americans United for Life,https://en.wikipedia.org/wiki/Americans_United_for_Life
We should ban partial birth abortions,partial birth abortions,Leahy voted for the Defense of Marriage Act and was one of the few in his party to support the ban on intact dilation and extraction procedures.,Leahy voted for the Defense of Marriage Act and was one of the few in his party to support the ban on TOPIC_CONCEPT procedures.,0,Patrick Leahy,https://en.wikipedia.org/wiki/Patrick_Leahy
We should ban partial birth abortions,partial birth abortions,"In 1996, pastor Rob Schenck told then President Bill Clinton, ""God will hold you to account, Mr. President,"" referencing a recent veto of a ban on partial-birth abortions.","In 1996, pastor Rob Schenck told then President Bill Clinton, ""God will hold you to account, Mr. President,"" referencing a recent veto of a ban on TOPIC_CONCEPT.",0,Threatening the President of the United States,https://en.wikipedia.org/wiki/Threatening_the_President_of_the_United_States
We should ban partial birth abortions,partial birth abortions,"Snyder voted against the Federal Marriage Amendment, the ban on partial-birth abortions, banning lawsuits against gun manufacturers and distributors, bankruptcy reform, drilling in ANWR, and on October 10, 2002, he was among the 133 members of the House who voted against authorizing the invasion of Iraq.","Snyder voted against the Federal Marriage Amendment, the ban on TOPIC_CONCEPT, banning lawsuits against gun manufacturers and distributors, bankruptcy reform, drilling in ANWR, and on October 10, 2002, he was among the 133 members of the House who voted against authorizing the invasion of Iraq.",1,Vic Snyder,https://en.wikipedia.org/wiki/Vic_Snyder
We should ban partial birth abortions,partial birth abortions,"Kennedy wrote the majority opinion in 2007's Gonzales v. Carhart, which held that a federal law criminalizing partial-birth abortion did not violate Casey because it did not impose an ""undue burden.""","Kennedy wrote the majority opinion in 2007's Gonzales v. Carhart, which held that a federal law criminalizing TOPIC_CONCEPT did not violate Casey because it did not impose an ""undue burden.""",1,Anthony Kennedy,https://en.wikipedia.org/wiki/Anthony_Kennedy
We should ban partial birth abortions,partial birth abortions,"The DLC opposed the partial birth abortion ban, the expiration of the 1994 assault weapon ban, the Clear Skies Initiative, and what they perceived as a lack of funding of the Community Oriented Policing Services (COPS) program.","The DLC opposed TOPIC_CONCEPT ban, the expiration of the 1994 assault weapon ban, the Clear Skies Initiative, and what they perceived as a lack of funding of the Community Oriented Policing Services (COPS) program.",1,Democratic Leadership Council,https://en.wikipedia.org/wiki/Democratic_Leadership_Council
We should ban partial birth abortions,partial birth abortions,"Relying deferentially on Congress's findings that this intact dilation and extraction procedure is never needed to protect the health of a pregnant woman, Kennedy wrote that a health exception was therefore unnecessary.","Relying deferentially on Congress's findings that this TOPIC_CONCEPT procedure is never needed to protect the health of a pregnant woman, Kennedy wrote that a health exception was therefore unnecessary.",0,Gonzales v. Carhart,https://en.wikipedia.org/wiki/Gonzales_v._Carhart
We should ban partial birth abortions,partial birth abortions,"Hadley Arkes commented, in an editorial in the National Review, ""[t]hat provision went even further than the law was obliged to go, for as the American Medical Association testified during the hearings, a partial-birth abortion bore no relevance to any measure needed to advance the health of any woman.""[REF] .","Hadley Arkes commented, in an editorial in the National Review, ""[t]hat provision went even further than the law was obliged to go, for as the American Medical Association testified during the hearings, TOPIC_CONCEPT bore no relevance to any measure needed to advance the health of any woman.""[REF] .",0,Partial-Birth Abortion Ban Act,https://en.wikipedia.org/wiki/Partial-Birth_Abortion_Ban_Act
We should ban partial birth abortions,partial birth abortions,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on TOPIC_CONCEPT, and also against a harsher line on Cuba.",1,Jim Jeffords,https://en.wikipedia.org/wiki/Jim_Jeffords
We should ban partial birth abortions,partial birth abortions,"In writing against a legal ban on so-called ""partial birth abortion,"" Rabbi David Ellenson, president of the Reform Movement's Hebrew Union College, has written, ""This law as it has been enacted unquestionably diminishes the inviolable status and worth that ought to be granted women as moral agents created in the image of God."" .","In writing against a legal ban on so-called ""TOPIC_CONCEPT,"" Rabbi David Ellenson, president of the Reform Movement's Hebrew Union College, has written, ""This law as it has been enacted unquestionably diminishes the inviolable status and worth that ought to be granted women as moral agents created in the image of God."" .",1,Judaism and abortion,https://en.wikipedia.org/wiki/Judaism_and_abortion
We should ban partial birth abortions,partial birth abortions,"The term ""partial-birth abortion"" was first coined by Douglas Johnson of the National Right to Life Committee [REF].",The term TOPIC_CONCEPT was first coined by Douglas Johnson of the National Right to Life Committee [REF].,0,Partial-Birth Abortion Ban Act,https://en.wikipedia.org/wiki/Partial-Birth_Abortion_Ban_Act
We should ban partial birth abortions,partial birth abortions,"Despite his opposition to partial-birth abortion, Clyburn is regarded to be pro-choice on the issue of abortion, as is made evident by his high ratings from the Planned Parenthood and NARAL Pro-Choice America organizations, and very low rating from the National Right to Life Committee [REF].","Despite his opposition to TOPIC_CONCEPT, Clyburn is regarded to be pro-choice on the issue of abortion, as is made evident by his high ratings from the Planned Parenthood and NARAL Pro-Choice America organizations, and very low rating from the National Right to Life Committee [REF].",0,Jim Clyburn,https://en.wikipedia.org/wiki/Jim_Clyburn
We should ban partial birth abortions,partial birth abortions,"Although Ginsburg has consistently supported abortion rights and joined in the Court's opinion striking down Nebraska's partial-birth abortion law in Stenberg v. Carhart she has criticized the Court's ruling in Roe v. Wade as terminating a nascent, democratic movement to liberalize abortion laws which might have built a more durable consensus in support of abortion rights.","Although Ginsburg has consistently supported abortion rights and joined in the Court's opinion striking down Nebraska's TOPIC_CONCEPT law in Stenberg v. Carhart she has criticized the Court's ruling in Roe v. Wade as terminating a nascent, democratic movement to liberalize abortion laws which might have built a more durable consensus in support of abortion rights.",0,Ruth Bader Ginsburg,https://en.wikipedia.org/wiki/Ruth_Bader_Ginsburg
We should ban partial birth abortions,partial birth abortions,"In the United States, intact dilation and extraction was made illegal in most circumstances by the Partial-Birth Abortion Ban Act in 2003, which the U.S. Supreme Court upheld in the case of Gonzales v. Carhart.","In the United States, TOPIC_CONCEPT was made illegal in most circumstances by the Partial-Birth Abortion Ban Act in 2003, which the U.S. Supreme Court upheld in the case of Gonzales v. Carhart.",0,Intact dilation and extraction,https://en.wikipedia.org/wiki/Intact_dilation_and_extraction
We should ban partial birth abortions,partial birth abortions,Justice Kennedy also detailed what he deemed a constitutionally protected alternative to partial-birth abortion.,Justice Kennedy also detailed what he deemed a constitutionally protected alternative to TOPIC_CONCEPT.,0,Stenberg v. Carhart,https://en.wikipedia.org/wiki/Stenberg_v._Carhart
We should ban partial birth abortions,partial birth abortions,"In the 2000 Supreme Court case of Stenberg v. Carhart, a Nebraska law banning ""partial-birth abortion"" was ruled unconstitutional, in part because the language defining ""partial-birth abortion"" was deemed vague [REF].","In the 2000 Supreme Court case of Stenberg v. Carhart, a Nebraska law banning TOPIC_CONCEPT was ruled unconstitutional, in part because the language defining TOPIC_CONCEPT was deemed vague [REF].",1,Partial-Birth Abortion Ban Act,https://en.wikipedia.org/wiki/Partial-Birth_Abortion_Ban_Act
We should ban partial birth abortions,partial birth abortions,"Both candidates had similar views on the budget surplus, although Neumann was for banning partial-birth abortion while Feingold was against a ban.","Both candidates had similar views on the budget surplus, although Neumann was for banning TOPIC_CONCEPT while Feingold was against a ban.",0,Mark Neumann,https://en.wikipedia.org/wiki/Mark_Neumann
We should ban partial birth abortions,partial birth abortions,"In 2000 Ohio introduced another ""partial-birth abortion"" ban.",In 2000 Ohio introduced another TOPIC_CONCEPT ban.,1,Intact dilation and extraction,https://en.wikipedia.org/wiki/Intact_dilation_and_extraction
We should ban partial birth abortions,partial birth abortions,"Additionally, I support parental notification and a ban on partial birth abortions.""","Additionally, I support parental notification and a ban on TOPIC_CONCEPT.""",0,Bill Johnson (Ohio politician),https://en.wikipedia.org/wiki/Bill_Johnson_(Ohio_politician)
We should ban partial birth abortions,partial birth abortions,"Several polls have stated that a majority of Americans support banning ""partial birth abortion"" when the pollsters describe it as such [REF].",Several polls have stated that a majority of Americans support banning TOPIC_CONCEPT when the pollsters describe it as such [REF].,1,Political positions of Harry Reid,https://en.wikipedia.org/wiki/Political_positions_of_Harry_Reid
We should ban partial birth abortions,partial birth abortions,"Kennedy's majority opinion argued that the case differed from Stenberg v. Carhart, a 2000 case in which the Supreme Court struck down a state ban on ""partial-birth abortion"" as unconstitutional, in that the Partial Birth Abortion Act defined the banned procedure more clearly.","Kennedy's majority opinion argued that the case differed from Stenberg v. Carhart, a 2000 case in which the Supreme Court struck down a state ban on TOPIC_CONCEPT as unconstitutional, in that the Partial Birth Abortion Act defined the banned procedure more clearly.",1,Partial-Birth Abortion Ban Act,https://en.wikipedia.org/wiki/Partial-Birth_Abortion_Ban_Act
We should ban partial birth abortions,partial birth abortions,O'Reilly ardently condemns the practice of partial birth abortion.,O'Reilly ardently condemns the practice of TOPIC_CONCEPT.,1,Political views of Bill O'Reilly,https://en.wikipedia.org/wiki/Political_views_of_Bill_O'Reilly
We should ban partial birth abortions,partial birth abortions,Thomas further noted that the gruesome nature of some partial-birth abortions has caused personal trauma in the doctors performing them.,Thomas further noted that the gruesome nature of some TOPIC_CONCEPT has caused personal trauma in the doctors performing them.,1,Stenberg v. Carhart,https://en.wikipedia.org/wiki/Stenberg_v._Carhart
We should ban partial birth abortions,partial birth abortions,"Abortion Upton opposes abortion in most circumstances, voting to prohibit partial-birth abortion and supported the interests of the National Right to Life Committee 75 percent in 2009 [REF].","Abortion Upton opposes abortion in most circumstances, voting to prohibit TOPIC_CONCEPT and supported the interests of the National Right to Life Committee 75 percent in 2009 [REF].",1,Fred Upton,https://en.wikipedia.org/wiki/Fred_Upton
